 # texting interjections
 <please_do> ~yes
 <please_excuse_me ~emoapology
 <please_forgive_me ~emoapology
 <please> ~emobeg
 <poor_you ~emosad
 <positively ~yes
 <possibly> ~emomaybe
 <precisely ~yes
 <probably> ~yes
 <quit ~emogoodbye
 <really_? ~emosurprise
 <really> ~emoskeptic
 <right_, ~yes
 <right_brah ~yes
 <right_on ~yes
 <right> ~yes
 <righto ~yes
 <righty-ho ~yes
 <rubbish> ~no
 <salutations ~emohello
 <say_that_again ~emomisunderstand
 <sayonara ~emogoodbye
 <see_you_later ~emogoodbye
 <see_you_later_,_aligator ~emogoodbye
 <see_you_soon ~emogoodbye
 <see_you_tomorrow ~emogoodbye
 <see_you> ~emogoodbye
 <seldom> ~no
 <shure ~yes
 <si ~yes
 <smirk ~emolaugh
 <smirks ~emolaugh
 <snicker ~emolaugh
 <snickers ~emolaugh
 <so_do_I> ~emomutual
 <so_long ~emogoodbye
 <so_will_you ~yes
 <sorry ~emoapology
 <sorry_? ~emomisunderstand
 <sorry_about_that ~emoapology
 <sorry_it_did_not_work_out ~emosad
 <sounds_wonderful ~yes
 <supposedly ~yes
 <sure ~yes
 <sure_thing ~yes
 <surely ~yes
 <surely_not> ~no
 <surprise ~emosurprise
 <take_care ~emogoodbye
 <take_care_of_yourself ~emogoodbye
 <take_it_easy ~emogoodbye
 <talk_to_you_later ~emogoodbye
 <tanks_eh ~emothanks
 <thank_you ~emothanks
 <thank_you_,_goodnight ~emothanks
 <thank_you_for_the_flowers ~emothanks
 <thank_you_goodnight ~emothanks
 <thank_you_much ~emothanks
 <thank_you_so_much ~emothanks
 <thank_you_very_much ~emothanks
 <thank_you_very_much_indeed ~emothanks
 <thanks ~emothanks
 <thanks_a_lot ~emothanks
 <thanks_again ~emothanks
 <thanks_for_everything ~emothanks
 <thanks_for_your_help ~emothanks
 <thanks_man ~emothanks
 <thanks_mate ~emothanks
 <thanks_my_friend ~emothanks
 <thanks_so_much ~emothanks
 <thanks_to_everybody ~emothanks
 <thanks_to_you_all ~emothanks
 <thanks_very_much ~emothanks
 <that_bums_me_out ~emosad
 <that_is_alright ~yes
 <that_is_correct ~yes
 <that_is_disgusting ~emodisgust
 <that_is_good ~yes
 <that_is_impossible ~no
 <that_is_right ~yes
 <that_is_rubbish ~no
 <that_is_unbelievable ~no
 <that_may_be_true> ~emomaybe
 <that_really_sucks ~emosad
 <the_answer_eludes_me ~emoignorance
 <the_answer_escapes_me ~emoignorance
 <there_is_no_reason_to_think_so ~no
 <thinks_not ~no
 <thumbs_up ~yes
 <till_another_time ~emogoodbye
 <till_next_time ~emogoodbye
 <till_we_meet_again ~emogoodbye
 <till_next_time ~emogoodbye
 <time_to_be ~emogoodbye
 <time_to_go ~emogoodbye
 <toodeloo ~emogoodbye
 <toodle_pip ~emogoodbye
 <toodles ~emogoodbye
 <totally ~yes
 <true> ~yes
 <truly_? ~emosurprise
 <truly> ~emoskeptic
 <two_thumbs_up ~yes
 <ugh ~emodisgust
 <uh-hu ~no
 <uh-huh ~yes
 <uh-uh ~no
